lsoa_code,borough,major_category,minor_category,value,year,month
E01003810,Richmond upon Thames,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,10
E01000603,Brent,Other Notifiable Offences,Other Notifiable,0,2016,4
E01002367,Havering,Other Notifiable Offences,Other Notifiable,0,2016,6
E01002724,Islington,Burglary,Burglary in Other Buildings,1,2016,7
E01002835,Kensington and Chelsea,Theft and Handling,Other Theft,7,2016,1
E01002426,Hillingdon,Violence Against the Person,Wounding/GBH,0,2016,9
E01001312,Ealing,Burglary,Burglary in Other Buildings,0,2016,5
E01004485,Wandsworth,Violence Against the Person,Harassment,0,2016,4
E01001100,Croydon,Violence Against the Person,Wounding/GBH,0,2016,6
E01000812,Bromley,Drugs,Possession Of Drugs,1,2016,1
E01002553,Hillingdon,Burglary,Burglary in Other Buildings,0,2016,12
E01002485,Hillingdon,Violence Against the Person,Wounding/GBH,0,2016,1
E01001584,Greenwich,Theft and Handling,Other Theft Person,0,2016,4
E01004263,Tower Hamlets,Violence Against the Person,Harassment,1,2016,10
E01001856,Hammersmith and Fulham,Other Notifiable Offences,Going Equipped,0,2016,8
E01004010,Southwark,Violence Against the Person,Offensive Weapon,0,2016,8
E01002703,Islington,Theft and Handling,Handling Stolen Goods,0,2016,11
E01003081,Lambeth,Violence Against the Person,Harassment,2,2016,8
E01001499,Enfield,Violence Against the Person,Other violence,0,2016,9
E01002391,Havering,Violence Against the Person,Offensive Weapon,0,2016,11
E01001040,Croydon,Theft and Handling,Other Theft Person,0,2016,2
E01001605,Greenwich,Violence Against the Person,Offensive Weapon,0,2016,3
E01004608,Wandsworth,Other Notifiable Offences,Going Equipped,0,2016,2
E01033739,Greenwich,Criminal Damage,Criminal Damage To Dwelling,0,2016,10
E01001124,Croydon,Other Notifiable Offences,Other Notifiable,0,2016,2
E01004615,Wandsworth,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,2
E01003433,Merton,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,5
E01001455,Enfield,Drugs,Drug Trafficking,0,2016,12
E01004515,Wandsworth,Violence Against the Person,Harassment,0,2016,11
E01000446,Bexley,Robbery,Personal Property,0,2016,1
E01002650,Hounslow,Criminal Damage,Other Criminal Damage,1,2016,2
E01003771,Redbridge,Other Notifiable Offences,Other Notifiable,0,2016,5
E01003350,Lewisham,Drugs,Drug Trafficking,0,2016,7
E01004659,Westminster,Violence Against the Person,Common Assault,1,2016,2
E01002019,Haringey,Violence Against the Person,Wounding/GBH,0,2016,12
E01001023,Croydon,Violence Against the Person,Wounding/GBH,0,2016,10
E01000989,Croydon,Violence Against the Person,Offensive Weapon,0,2016,2
E01003395,Merton,Violence Against the Person,Harassment,1,2016,6
E01000448,Bexley,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,11
E01000641,Brent,Burglary,Burglary in a Dwelling,0,2016,1
E01001979,Haringey,Violence Against the Person,Wounding/GBH,2,2016,11
E01001279,Ealing,Burglary,Burglary in Other Buildings,0,2016,9
E01002870,Kensington and Chelsea,Other Notifiable Offences,Going Equipped,0,2016,1
E01004614,Wandsworth,Violence Against the Person,Offensive Weapon,0,2016,2
E01001454,Enfield,Violence Against the Person,Common Assault,1,2016,5
E01004740,Westminster,Violence Against the Person,Offensive Weapon,0,2016,3
E01001741,Hackney,Theft and Handling,Other Theft Person,0,2016,8
E01002509,Hillingdon,Theft and Handling,Theft From Shops,0,2016,6
E01000525,Brent,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,5
E01001095,Croydon,Burglary,Burglary in a Dwelling,0,2016,9
E01003368,Merton,Violence Against the Person,Common Assault,0,2016,9
E01003149,Lambeth,Fraud or Forgery,Counted per Victim,0,2016,2
E01033735,Greenwich,Drugs,Possession Of Drugs,3,2016,3
E01003693,Redbridge,Criminal Damage,Other Criminal Damage,0,2016,5
E01000436,Bexley,Drugs,Other Drugs,0,2016,1
E01000366,Bexley,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,12
E01004541,Wandsworth,Violence Against the Person,Harassment,2,2016,9
E01004321,Tower Hamlets,Theft and Handling,Other Theft,2,2016,1
E01000389,Bexley,Other Notifiable Offences,Other Notifiable,1,2016,5
E01001965,Haringey,Violence Against the Person,Harassment,0,2016,12
E01002793,Islington,Violence Against the Person,Offensive Weapon,0,2016,5
E01001925,Hammersmith and Fulham,Drugs,Possession Of Drugs,1,2016,2
E01000022,Barking and Dagenham,Violence Against the Person,Common Assault,1,2016,1
E01002473,Hillingdon,Violence Against the Person,Assault with Injury,0,2016,11
E01001604,Greenwich,Robbery,Personal Property,1,2016,7
E01000131,Barnet,Violence Against the Person,Harassment,1,2016,3
E01002969,Kingston upon Thames,Other Notifiable Offences,Other Notifiable,0,2016,11
E01004742,Westminster,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,11
E01000164,Barnet,Theft and Handling,Theft From Shops,2,2016,5
E01003564,Newham,Violence Against the Person,Offensive Weapon,0,2016,6
E01000708,Bromley,Violence Against the Person,Assault with Injury,0,2016,4
E01003672,Redbridge,Violence Against the Person,Assault with Injury,0,2016,11
E01003526,Newham,Theft and Handling,Theft From Shops,0,2016,1
E01001783,Hackney,Burglary,Burglary in Other Buildings,0,2016,9
E01000634,Brent,Criminal Damage,Criminal Damage To Other Building,0,2016,3
E01002546,Hillingdon,Theft and Handling,Theft From Motor Vehicle,0,2016,11
E01002900,Kensington and Chelsea,Other Notifiable Offences,Other Notifiable,0,2016,9
E01003296,Lewisham,Criminal Damage,Criminal Damage To Motor Vehicle,2,2016,12
E01004201,Tower Hamlets,Theft and Handling,Other Theft,0,2016,1
E01003304,Lewisham,Theft and Handling,Handling Stolen Goods,0,2016,7
E01000713,Bromley,Theft and Handling,Other Theft,1,2016,12
E01003045,Lambeth,Violence Against the Person,Wounding/GBH,1,2016,6
E01000862,Camden,Violence Against the Person,Common Assault,1,2016,6
E01002150,Harrow,Violence Against the Person,Harassment,2,2016,8
E01004064,Southwark,Burglary,Burglary in Other Buildings,0,2016,8
E01003595,Newham,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,9
E01001664,Greenwich,Violence Against the Person,Other violence,0,2016,6
E01002618,Hounslow,Violence Against the Person,Common Assault,0,2016,10
E01002137,Harrow,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,1
E01003920,Southwark,Criminal Damage,Other Criminal Damage,0,2016,6
E01001787,Hackney,Violence Against the Person,Offensive Weapon,0,2016,7
E01003297,Lewisham,Violence Against the Person,Offensive Weapon,0,2016,2
E01000247,Barnet,Violence Against the Person,Murder,0,2016,3
E01002448,Hillingdon,Theft and Handling,Theft From Motor Vehicle,1,2016,5
E01003585,Newham,Theft and Handling,Handling Stolen Goods,0,2016,5
E01000675,Bromley,Theft and Handling,Theft From Motor Vehicle,2,2016,9
E01000569,Brent,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,10
E01000845,Camden,Theft and Handling,Other Theft,1,2016,5
E01001959,Hammersmith and Fulham,Burglary,Burglary in Other Buildings,0,2016,5
E01002855,Kensington and Chelsea,Violence Against the Person,Other violence,0,2016,1
E01001011,Croydon,Violence Against the Person,Assault with Injury,2,2016,10
E01004413,Waltham Forest,Theft and Handling,Handling Stolen Goods,0,2016,6
E01002345,Havering,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,4
E01003532,Newham,Criminal Damage,Criminal Damage To Other Building,0,2016,3
E01004617,Wandsworth,Theft and Handling,Other Theft,7,2016,4
E01001465,Enfield,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2016,7
E01003298,Lewisham,Other Notifiable Offences,Other Notifiable,0,2016,8
E01000521,Brent,Burglary,Burglary in Other Buildings,0,2016,11
E01004129,Sutton,Theft and Handling,Handling Stolen Goods,0,2016,5
E01002001,Haringey,Robbery,Personal Property,0,2016,3
E01004324,Tower Hamlets,Burglary,Burglary in a Dwelling,0,2016,4
E01001845,Hackney,Criminal Damage,Criminal Damage To Other Building,0,2016,6
E01002271,Havering,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,10
E01000713,Bromley,Violence Against the Person,Offensive Weapon,0,2016,3
E01002518,Hillingdon,Violence Against the Person,Harassment,0,2016,11
E01004083,Sutton,Criminal Damage,Criminal Damage To Other Building,0,2016,1
E01001419,Enfield,Theft and Handling,Handling Stolen Goods,0,2016,10
E01000751,Bromley,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,10
E01001952,Hammersmith and Fulham,Theft and Handling,Other Theft Person,0,2016,5
E01000535,Brent,Criminal Damage,Criminal Damage To Dwelling,0,2016,12
E01001580,Greenwich,Criminal Damage,Criminal Damage To Other Building,0,2016,2
E01002440,Hillingdon,Criminal Damage,Criminal Damage To Dwelling,0,2016,6
E01033599,Westminster,Burglary,Burglary in a Dwelling,0,2016,4
E01003193,Lewisham,Theft and Handling,Handling Stolen Goods,0,2016,10
E01002908,Kensington and Chelsea,Other Notifiable Offences,Other Notifiable,0,2016,7
E01004078,Sutton,Robbery,Business Property,0,2016,6
E01002557,Hounslow,Violence Against the Person,Assault with Injury,1,2016,6
E01001786,Hackney,Robbery,Personal Property,0,2016,9
E01001380,Ealing,Burglary,Burglary in Other Buildings,0,2016,4
E01000531,Brent,Fraud or Forgery,Counted per Victim,0,2016,2
E01004520,Wandsworth,Violence Against the Person,Other violence,0,2016,9
E01033569,Kingston upon Thames,Theft and Handling,Other Theft,1,2016,9
E01003941,Southwark,Criminal Damage,Criminal Damage To Motor Vehicle,1,2016,12
E01001836,Hackney,Violence Against the Person,Common Assault,0,2016,5
E01002458,Hillingdon,Violence Against the Person,Offensive Weapon,0,2016,5
E01000030,Barking and Dagenham,Violence Against the Person,Other violence,0,2016,6
E01002457,Hillingdon,Violence Against the Person,Common Assault,1,2016,9
E01001338,Ealing,Other Notifiable Offences,Other Notifiable,0,2016,7
E01003991,Southwark,Violence Against the Person,Murder,0,2016,9
E01000527,Brent,Theft and Handling,Other Theft Person,0,2016,5
E01000487,Brent,Theft and Handling,Other Theft,0,2016,6
E01003038,Lambeth,Violence Against the Person,Harassment,1,2016,9
E01002830,Kensington and Chelsea,Theft and Handling,Theft From Motor Vehicle,2,2016,2
E01001600,Greenwich,Theft and Handling,Handling Stolen Goods,0,2016,1
E01004137,Sutton,Violence Against the Person,Wounding/GBH,3,2016,12
E01004469,Waltham Forest,Burglary,Burglary in Other Buildings,0,2016,1
E01003032,Lambeth,Burglary,Burglary in a Dwelling,2,2016,8
E01000973,Camden,Violence Against the Person,Other violence,1,2016,5
E01001204,Ealing,Burglary,Burglary in Other Buildings,0,2016,7
E01002171,Harrow,Criminal Damage,Criminal Damage To Other Building,0,2016,6
E01003856,Richmond upon Thames,Robbery,Business Property,0,2016,7
E01003924,Southwark,Violence Against the Person,Assault with Injury,0,2016,11
E01004708,Westminster,Criminal Damage,Criminal Damage To Other Building,0,2016,7
E01003414,Merton,Criminal Damage,Other Criminal Damage,0,2016,11
E01000640,Brent,Theft and Handling,Other Theft,4,2016,6
E01004638,Wandsworth,Robbery,Business Property,0,2016,6
E01002397,Hillingdon,Theft and Handling,Other Theft,2,2016,5
E01032565,Lewisham,Burglary,Burglary in Other Buildings,0,2016,1
E01002997,Kingston upon Thames,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,5
E01003217,Lewisham,Theft and Handling,Other Theft Person,0,2016,11
E01002068,Haringey,Theft and Handling,Motor Vehicle Interference & Tampering,2,2016,3
E01004574,Wandsworth,Theft and Handling,Handling Stolen Goods,0,2016,11
E01004317,Tower Hamlets,Criminal Damage,Criminal Damage To Dwelling,1,2016,8
E01000346,Bexley,Violence Against the Person,Assault with Injury,0,2016,7
E01003405,Merton,Violence Against the Person,Assault with Injury,1,2016,4
E01003728,Redbridge,Violence Against the Person,Harassment,5,2016,4
E01003578,Newham,Violence Against the Person,Other violence,0,2016,1
E01000072,Barking and Dagenham,Theft and Handling,Theft From Motor Vehicle,0,2016,6
E01002248,Havering,Criminal Damage,Criminal Damage To Other Building,0,2016,9
E01003450,Merton,Theft and Handling,Other Theft Person,0,2016,11
E01002760,Islington,Theft and Handling,Handling Stolen Goods,0,2016,10
E01002915,Kingston upon Thames,Burglary,Burglary in a Dwelling,0,2016,4
E01000426,Bexley,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,10
E01003974,Southwark,Sexual Offences,Other Sexual,0,2016,4
E01001752,Hackney,Violence Against the Person,Assault with Injury,2,2016,2
E01002119,Harrow,Violence Against the Person,Offensive Weapon,0,2016,9
E01002201,Harrow,Criminal Damage,Criminal Damage To Dwelling,0,2016,3
E01002088,Haringey,Burglary,Burglary in Other Buildings,1,2016,7
E01000366,Bexley,Other Notifiable Offences,Going Equipped,0,2016,4
E01000578,Brent,Theft and Handling,Theft From Motor Vehicle,1,2016,8
E01001275,Ealing,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,9
E01003955,Southwark,Theft and Handling,Theft From Motor Vehicle,2,2016,8
E01004547,Wandsworth,Criminal Damage,Other Criminal Damage,0,2016,6
E01001547,Enfield,Burglary,Burglary in a Dwelling,2,2016,4
E01000741,Bromley,Violence Against the Person,Assault with Injury,1,2016,10
E01001115,Croydon,Criminal Damage,Criminal Damage To Other Building,3,2016,11
E01002787,Islington,Criminal Damage,Other Criminal Damage,0,2016,10
E01004178,Sutton,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,10
E01001638,Greenwich,Burglary,Burglary in Other Buildings,0,2016,8
E01002664,Hounslow,Theft and Handling,Theft From Motor Vehicle,0,2016,1
E01001526,Enfield,Drugs,Possession Of Drugs,0,2016,12
E01001244,Ealing,Violence Against the Person,Other violence,1,2016,3
E01001995,Haringey,Violence Against the Person,Harassment,3,2016,10
E01000261,Barnet,Criminal Damage,Criminal Damage To Dwelling,0,2016,9
E01000008,Barking and Dagenham,Criminal Damage,Criminal Damage To Dwelling,0,2016,9
E01004236,Tower Hamlets,Criminal Damage,Other Criminal Damage,1,2016,8
E01033743,Greenwich,Burglary,Burglary in Other Buildings,0,2016,8
E01004707,Westminster,Theft and Handling,Theft/Taking of Pedal Cycle,1,2016,3
E01003887,Richmond upon Thames,Theft and Handling,Other Theft,2,2016,5
E01000019,Barking and Dagenham,Drugs,Drug Trafficking,0,2016,9
E01002154,Harrow,Criminal Damage,Criminal Damage To Dwelling,0,2016,10
E01001074,Croydon,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,12
E01004427,Waltham Forest,Robbery,Personal Property,0,2016,8
E01001546,Enfield,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,6
E01002336,Havering,Drugs,Drug Trafficking,0,2016,11
E01003134,Lambeth,Fraud or Forgery,Other Fraud & Forgery,0,2016,6
E01004512,Wandsworth,Criminal Damage,Criminal Damage To Other Building,0,2016,6
E01001811,Hackney,Drugs,Drug Trafficking,1,2016,12
E01000921,Camden,Violence Against the Person,Wounding/GBH,0,2016,10
E01002528,Hillingdon,Violence Against the Person,Offensive Weapon,0,2016,10
E01001145,Croydon,Theft and Handling,Theft From Shops,0,2016,7
E01003468,Merton,Drugs,Drug Trafficking,0,2016,11
E01000849,Camden,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,1
E01004138,Sutton,Burglary,Burglary in Other Buildings,0,2016,6
E01002955,Kingston upon Thames,Theft and Handling,Handling Stolen Goods,0,2016,5
E01000875,Camden,Violence Against the Person,Other violence,1,2016,8
E01000954,Camden,Theft and Handling,Other Theft Person,0,2016,3
E01002389,Havering,Violence Against the Person,Harassment,1,2016,5
E01000261,Barnet,Drugs,Drug Trafficking,0,2016,9
E01004149,Sutton,Criminal Damage,Criminal Damage To Other Building,0,2016,11
E01001101,Croydon,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,3
E01001780,Hackney,Violence Against the Person,Common Assault,2,2016,8
E01002940,Kingston upon Thames,Theft and Handling,Theft From Motor Vehicle,0,2016,12
E01001839,Hackney,Drugs,Other Drugs,0,2016,10
E01004312,Tower Hamlets,Criminal Damage,Criminal Damage To Other Building,0,2016,6
E01000201,Barnet,Violence Against the Person,Common Assault,0,2016,12
E01003375,Merton,Robbery,Personal Property,0,2016,11
E01001776,Hackney,Burglary,Burglary in Other Buildings,0,2016,3
E01000440,Bexley,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,1
E01000489,Brent,Burglary,Burglary in a Dwelling,1,2016,12
E01002563,Hounslow,Theft and Handling,Theft From Motor Vehicle,1,2016,5
E01004535,Wandsworth,Criminal Damage,Criminal Damage To Other Building,0,2016,8
E01003015,Lambeth,Violence Against the Person,Assault with Injury,0,2016,6
E01004760,Westminster,Theft and Handling,Theft From Motor Vehicle,0,2016,5
E01002899,Kensington and Chelsea,Robbery,Personal Property,1,2016,8
E01001271,Ealing,Theft and Handling,Theft From Motor Vehicle,2,2016,11
E01001446,Enfield,Burglary,Burglary in a Dwelling,2,2016,6
E01032780,Tower Hamlets,Violence Against the Person,Wounding/GBH,0,2016,6
E01001925,Hammersmith and Fulham,Theft and Handling,Other Theft,2,2016,6
E01004341,Waltham Forest,Fraud or Forgery,Counted per Victim,0,2016,7
E01003084,Lambeth,Violence Against the Person,Common Assault,1,2016,10
E01003892,Richmond upon Thames,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,9
E01001745,Hackney,Other Notifiable Offences,Other Notifiable,0,2016,2
E01002342,Havering,Robbery,Business Property,0,2016,2
E01001340,Ealing,Criminal Damage,Criminal Damage To Motor Vehicle,1,2016,12
E01002562,Hounslow,Violence Against the Person,Assault with Injury,4,2016,11
E01003243,Lewisham,Violence Against the Person,Offensive Weapon,0,2016,5
E01000519,Brent,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,12
E01001488,Enfield,Other Notifiable Offences,Other Notifiable,0,2016,10
E01001621,Greenwich,Theft and Handling,Other Theft Person,0,2016,4
E01000642,Brent,Violence Against the Person,Offensive Weapon,1,2016,3
E01002976,Kingston upon Thames,Violence Against the Person,Wounding/GBH,0,2016,1
E01004601,Wandsworth,Theft and Handling,Other Theft Person,1,2016,6
E01000980,Croydon,Violence Against the Person,Harassment,0,2016,3
E01001758,Hackney,Theft and Handling,Theft From Shops,0,2016,10
E01003256,Lewisham,Drugs,Other Drugs,0,2016,6
E01032777,Tower Hamlets,Other Notifiable Offences,Going Equipped,0,2016,8
E01003453,Merton,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,5
E01003224,Lewisham,Other Notifiable Offences,Other Notifiable,0,2016,6
E01000985,Croydon,Robbery,Personal Property,0,2016,11
E01003533,Newham,Violence Against the Person,Assault with Injury,1,2016,9
E01001647,Greenwich,Criminal Damage,Criminal Damage To Dwelling,0,2016,11
E01004740,Westminster,Criminal Damage,Other Criminal Damage,1,2016,9
E01000342,Bexley,Violence Against the Person,Offensive Weapon,0,2016,8
E01002143,Harrow,Theft and Handling,Other Theft Person,0,2016,1
E01004626,Wandsworth,Theft and Handling,Other Theft,3,2016,9
E01000774,Bromley,Burglary,Burglary in Other Buildings,0,2016,1
E01004571,Wandsworth,Theft and Handling,Other Theft,18,2016,9
E01001837,Hackney,Theft and Handling,Other Theft Person,0,2016,11
E01004308,Tower Hamlets,Theft and Handling,Handling Stolen Goods,0,2016,2
E01000295,Barnet,Violence Against the Person,Wounding/GBH,0,2016,5
E01000877,Camden,Theft and Handling,Theft/Taking of Pedal Cycle,1,2016,2
E01004002,Southwark,Drugs,Possession Of Drugs,0,2016,1
E01003429,Merton,Burglary,Burglary in a Dwelling,3,2016,2
E01000839,Bromley,Violence Against the Person,Wounding/GBH,0,2016,11
E01000493,Brent,Violence Against the Person,Wounding/GBH,0,2016,7
E01003321,Lewisham,Violence Against the Person,Murder,0,2016,4
E01001559,Enfield,Violence Against the Person,Common Assault,0,2016,2
E01002222,Harrow,Violence Against the Person,Wounding/GBH,0,2016,7
E01001355,Ealing,Violence Against the Person,Wounding/GBH,0,2016,1
E01001175,Croydon,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,1
E01001661,Greenwich,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,11
E01001841,Hackney,Drugs,Possession Of Drugs,0,2016,2
E01001786,Hackney,Criminal Damage,Criminal Damage To Dwelling,0,2016,8
E01002002,Haringey,Criminal Damage,Criminal Damage To Motor Vehicle,1,2016,3
E01001096,Croydon,Criminal Damage,Criminal Damage To Dwelling,1,2016,8
E01001244,Ealing,Robbery,Business Property,0,2016,11
E01032570,Bromley,Violence Against the Person,Other violence,0,2016,9
E01001087,Croydon,Robbery,Personal Property,2,2016,6
E01004479,Wandsworth,Theft and Handling,Theft/Taking Of Motor Vehicle,2,2016,2
E01002827,Kensington and Chelsea,Criminal Damage,Criminal Damage To Motor Vehicle,1,2016,5
E01002988,Kingston upon Thames,Criminal Damage,Criminal Damage To Dwelling,0,2016,9
E01000271,Barnet,Burglary,Burglary in Other Buildings,1,2016,7
E01003634,Newham,Theft and Handling,Handling Stolen Goods,0,2016,12
E01004553,Wandsworth,Robbery,Business Property,0,2016,10
E01000086,Barking and Dagenham,Violence Against the Person,Other violence,0,2016,1
E01002651,Hounslow,Criminal Damage,Criminal Damage To Dwelling,1,2016,4
E01002713,Islington,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,4
E01004241,Tower Hamlets,Drugs,Possession Of Drugs,0,2016,4
E01000843,Camden,Violence Against the Person,Common Assault,0,2016,11
E01004361,Waltham Forest,Violence Against the Person,Other violence,0,2016,1
E01004439,Waltham Forest,Violence Against the Person,Wounding/GBH,0,2016,9
E01000127,Barnet,Criminal Damage,Criminal Damage To Dwelling,0,2016,7
E01003247,Lewisham,Violence Against the Person,Assault with Injury,0,2016,5
E01001834,Hackney,Violence Against the Person,Offensive Weapon,0,2016,5
E01003263,Lewisham,Burglary,Burglary in Other Buildings,0,2016,12
E01003974,Southwark,Violence Against the Person,Assault with Injury,0,2016,8
E01000290,Barnet,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,12
E01002410,Hillingdon,Fraud or Forgery,Counted per Victim,0,2016,10
E01004192,Sutton,Criminal Damage,Other Criminal Damage,1,2016,8
E01000223,Barnet,Theft and Handling,Theft From Shops,1,2016,2
E01003330,Lewisham,Theft and Handling,Motor Vehicle Interference & Tampering,1,2016,11
E01033081,Hounslow,Violence Against the Person,Wounding/GBH,0,2016,10
E01004004,Southwark,Theft and Handling,Other Theft Person,0,2016,11
E01002017,Haringey,Theft and Handling,Theft From Motor Vehicle,3,2016,1
E01033575,Newham,Violence Against the Person,Assault with Injury,0,2016,8
E01003435,Merton,Theft and Handling,Other Theft Person,0,2016,6
E01001223,Ealing,Violence Against the Person,Other violence,0,2016,3
E01002830,Kensington and Chelsea,Theft and Handling,Other Theft Person,5,2016,12
E01001366,Ealing,Theft and Handling,Motor Vehicle Interference & Tampering,1,2016,6
E01002668,Hounslow,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,3
E01001391,Enfield,Burglary,Burglary in Other Buildings,0,2016,3
E01003548,Newham,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,7
E01002456,Hillingdon,Robbery,Personal Property,0,2016,5
E01000725,Bromley,Theft and Handling,Theft/Taking of Pedal Cycle,1,2016,10
E01000328,Bexley,Criminal Damage,Criminal Damage To Other Building,0,2016,6
E01033734,Greenwich,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,6
E01000927,Camden,Criminal Damage,Criminal Damage To Dwelling,1,2016,3
E01001245,Ealing,Criminal Damage,Other Criminal Damage,0,2016,5
E01004715,Westminster,Violence Against the Person,Other violence,0,2016,9
E01004152,Sutton,Robbery,Business Property,0,2016,9
E01002612,Hounslow,Theft and Handling,Handling Stolen Goods,0,2016,9
E01000479,Brent,Burglary,Burglary in Other Buildings,0,2016,2
E01004251,Tower Hamlets,Theft and Handling,Other Theft Person,1,2016,6
E01000508,Brent,Robbery,Personal Property,2,2016,1
E01003136,Lambeth,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,1
E01032583,Southwark,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,2
E01000553,Brent,Burglary,Burglary in a Dwelling,2,2016,10
E01000992,Croydon,Theft and Handling,Other Theft,0,2016,8
E01003581,Newham,Criminal Damage,Other Criminal Damage,0,2016,6
E01033600,Westminster,Violence Against the Person,Common Assault,0,2016,4
E01004064,Southwark,Violence Against the Person,Offensive Weapon,0,2016,2
E01003073,Lambeth,Violence Against the Person,Assault with Injury,1,2016,2
